timestamp,model_name,benchmark,accuracy,memory_utilization,model_runtime,additional_results
2024-11-21 11:32:53,qwen2_4bit,vqa2,0.8403755074739456,1457848656,186.27353525161743,0.0
2024-11-21 11:40:50,qwen2_8bit,vqa2,0.9077363305091858,2444558672,465.0162696838379,0.0
2024-11-21 11:42:52,qwen2_32bit,vqa2,0.9310666514635086,8835949904,111.66514134407043,0.0
2024-11-21 11:56:06,video_llava_4bit,vqa2,0.7336366030573845,4081135888,536.1442437171936,0.0
2024-11-21 12:21:41,video_llava_8bit,vqa2,0.7324023712277412,7631614224,1520.0956168174744,0.0
2024-11-21 12:32:51,video_llava_32bit,vqa2,0.7453939850330353,29465129232,654.4733037948608,0.0
2024-11-21 12:50:46,idefics2_4bit,vqa2,0.9284647698402404,4605581792,527.700835943222,0.0
2024-11-21 13:20:22,idefics2_8bit,vqa2,0.9325018073916436,8673231328,1224.273596048355,0.0
2024-11-21 14:16:33,idefics2_32bit,vqa2,0.9312592497467996,33611080640,3326.136284828186,0.0
2024-11-21 14:33:03,phi3_5_4bit,vqa2,0.6940760865211487,2371420680,832.7599601745605,0.0
2024-11-21 14:58:04,phi3_5_8bit,vqa2,0.7023498987555504,4345365000,1446.3178033828735,0.0
2024-11-21 15:14:14,phi3_5_32bit,vqa2,0.7008818162679672,16586496520,932.8969750404358,0.0
2024-11-21 15:16:43,qwen2_4bit,docvqa,0.1224883881761447,1457848656,66.98035955429077,0.7295794408023357
2024-11-21 15:19:48,qwen2_8bit,docvqa,0.3203984176732342,2444558672,178.05592918395996,0.8049360439181328
2024-11-21 15:20:39,qwen2_32bit,docvqa,0.477183595973623,8835949904,42.50411105155945,0.858202206492424
2024-11-21 15:27:49,video_llava_4bit,docvqa,0.0144568600846037,4081135888,181.31993103027344,0.6746890236437321
2024-11-21 15:36:26,video_llava_8bit,docvqa,0.012790193417937,7631614224,506.624990940094,0.6760708205401897
2024-11-21 15:40:18,video_llava_32bit,docvqa,0.0251711457988894,29465129232,220.3760130405426,0.6795340271294117
